"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comdrogas.1","comtabagis.0","comtabagis.1","escol4.0","escol4.1","fxet3.1","hiv3.0","hiv3.2","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"38",38,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",55,1.18913480885312,0.774647887323944,0.0930626057529611,48,1.19549917822074,0.786885245901639,0.0812182741116751
"39",39,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=0",57,1.18241488241488,0.77027027027027,0.0964467005076142,49,1.20072145285679,0.790322580645161,0.0829103214890017
"40",40,1,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=0",26,1.37626511419615,0.896551724137931,0.0439932318104907,24,1.25733534261147,0.827586206896552,0.0406091370558376
"41",41,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,"encerra2=0",55,1.18913480885312,0.774647887323944,0.0930626057529611,48,1.19549917822074,0.786885245901639,0.0812182741116751
"42",42,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",55,1.18913480885312,0.774647887323944,0.0930626057529611,48,1.19549917822074,0.786885245901639,0.0812182741116751
"43",43,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=0",57,1.18241488241488,0.77027027027027,0.0964467005076142,49,1.20072145285679,0.790322580645161,0.0829103214890017
"44",44,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=0",26,1.37626511419615,0.896551724137931,0.0439932318104907,24,1.25733534261147,0.827586206896552,0.0406091370558376
"45",45,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,"encerra2=0",55,1.18913480885312,0.774647887323944,0.0930626057529611,48,1.19549917822074,0.786885245901639,0.0812182741116751
"46",46,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",27,1.33699204021785,0.870967741935484,0.0456852791878173,25,1.22522597230284,0.806451612903226,0.0423011844331641
"47",47,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=0",27,1.33699204021785,0.870967741935484,0.0456852791878173,25,1.22522597230284,0.806451612903226,0.0423011844331641
